"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:05";2949;1;45630404229,6412
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:06";10984;1;45630404241,2153
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:06";7927;1;45630404241,2153
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:06";14522;1;45630404241,2153
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:06";580;1;45630404241,2153
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:06";25218;1;45630404241,2153
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:06";8821;1;45630404241,2269
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:06";695;1;45630404241,2269
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:06";3110;1;45630404241,2269
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:06";2821;1;45630404241,2269
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:07";10981;1;45630404252,7778
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:07";7903;1;45630404252,7778
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:07";14506;1;45630404252,7778
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:07";305;1;45630404252,7778
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:07";25224;1;45630404252,7778
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:07";8786;1;45630404252,7893
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:07";788;1;45630404252,7893
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:07";3261;1;45630404252,7893
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:07";2970;1;45630404252,7893
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:08";11021;1;45630404264,3519
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:08";7900;1;45630404264,3519
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:08";14491;1;45630404264,3634
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:08";232;1;45630404264,3634
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:08";25230;1;45630404264,3634
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:08";8804;1;45630404264,3634
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:08";911;1;45630404264,3634
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:08";3091;1;45630404264,3634
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:08";2817;1;45630404264,3634
"15A6 - Auxiliar - S07B09 - BOB A (AV)";"04.12.2024 09:42:08";-1;1;45630404264,375
"Entradas / Sel. Loc_THS PARES 2-4-6-8";"04.12.2024 09:42:08";-1;1;45630404264,375
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:09";11146;1;45630404276,007
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:09";7936;1;45630404276,007
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:09";14479;1;45630404276,007
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:09";176;1;45630404276,007
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:09";25235;1;45630404276,007
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:09";9508;1;45630404276,0185
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:09";1148;1;45630404276,0185
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:09";3325;1;45630404276,0185
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:09";3041;1;45630404276,0185
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:10";11217;1;45630404287,4653
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:10";8266;1;45630404287,4653
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:10";14463;1;45630404287,4769
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:10";94;1;45630404287,4769
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:10";25239;1;45630404287,4769
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:10";10372;1;45630404287,4769
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:10";1372;1;45630404287,4769
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:10";3454;1;45630404287,4769
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:10";3200;1;45630404287,4769
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:11";11312;1;45630404299,0162
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:11";8537;1;45630404299,0162
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:11";14451;1;45630404299,0162
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:11";23;1;45630404299,0278
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:11";25242;1;45630404299,0278
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:11";10384;1;45630404299,0278
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:11";1520;1;45630404299,0278
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:11";3292;1;45630404299,0278
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:11";3062;1;45630404299,0278
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:12";11284;1;45630404310,6019
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:12";8742;1;45630404310,6019
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:12";14439;1;45630404310,6019
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:12";-19;1;45630404310,6019
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:12";25250;1;45630404310,6019
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:12";10348;1;45630404310,6134
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:12";1699;1;45630404310,6134
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:12";3321;1;45630404310,6134
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:12";3079;1;45630404310,6134
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:13";11331;1;45630404322,1759
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:13";8908;1;45630404322,1759
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:13";14426;1;45630404322,1759
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:13";-26;1;45630404322,1759
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:13";25255;1;45630404322,1759
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:13";10319;1;45630404322,1759
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:13";1843;1;45630404322,1759
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:13";3246;1;45630404322,1875
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:13";3025;1;45630404322,1875
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:14";11170;1;45630404333,7963
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:14";9056;1;45630404333,7963
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:14";14416;1;45630404333,8079
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:14";25257;1;45630404333,8079
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:14";10303;1;45630404333,8079
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:14";1990;1;45630404333,8079
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:14";3236;1;45630404333,8079
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:14";3030;1;45630404333,8079
"Entradas / Sel. Loc_PRESION ACEITE COMPRESOR";"04.12.2024 09:42:15";11207;1;45630404345,3704
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:15";9148;1;45630404345,3704
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:15";14402;1;45630404345,3704
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:15";25264;1;45630404345,3704
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:15";10293;1;45630404345,3704
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:15";2137;1;45630404345,3704
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:15";3218;1;45630404345,3819
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:15";3043;1;45630404345,3819
"Entradas / Sel. Loc_PRESIÓN ACEITE MD";"04.12.2024 09:42:16";9189;1;45630404356,956
"Entradas / Sel. Loc_PRESIÓN DEPÓSITO PPAL";"04.12.2024 09:42:16";14389;1;45630404356,9676
"Entradas / Sel. Loc_PRESIÓN CILINDRO DE FRENO";"04.12.2024 09:42:16";-25;1;45630404356,9676
"Entradas / Sel. Loc_PRESIÓN TUBO DE FRENO";"04.12.2024 09:42:16";25266;1;45630404356,9676
"Entradas / Sel. Loc_RPM MOTOR DIÉSEL";"04.12.2024 09:42:16";10095;1;45630404356,9676
"Entradas / Sel. Loc_TENSIÓN GENERADOR PPAL";"04.12.2024 09:42:16";2235;1;45630404356,9676
"Entradas / Sel. Loc_CORRIENTE GRUPO 2";"04.12.2024 09:42:16";3118;1;45630404356,9676
"Entradas / Sel. Loc_CORRIENTE GRUPO 1";"04.12.2024 09:42:16";2926;1;45630404356,9676
